WKT,nama,deskripsi
"LINESTRING (106.8158751 -6.3050439, 106.8205099 -6.3059397, 106.8205099 -6.3065795, 106.8227415 -6.3068355, 106.8229132 -6.3062809, 106.8248015 -6.3064089, 106.8247156 -6.3084564, 106.8269472 -6.3086696, 106.8266039 -6.3113143, 106.8258314 -6.311229, 106.8248015 -6.3180538, 106.8187504 -6.3173286, 106.8181067 -6.3163902, 106.8163901 -6.3161343, 106.8163901 -6.3148546, 106.817935 -6.31494, 106.8177204 -6.3105038, 106.8156605 -6.3105038, 106.8157892 -6.3080298, 106.816905 -6.3078165, 106.816948 -6.3069208, 106.8157892 -6.3047453)",ragunan,
"POLYGON ((106.8835677 -6.2988003, 106.8839324 -6.3017009, 106.8843187 -6.3025753, 106.8861426 -6.3043029, 106.8888248 -6.305348, 106.8923438 -6.3060305, 106.8961204 -6.3072248, 106.8982876 -6.3080566, 106.9000901 -6.3054333, 106.9026006 -6.3056892, 106.9043172 -6.3054119, 106.9042314 -6.3008264, 106.8986095 -6.3005918, 106.8921078 -6.3002293, 106.8892969 -6.3000586, 106.8888892 -6.2989496, 106.8835677 -6.2988003))",taman mini ,
